visits,ctr,time_on_page,scroll_depth,add_to_cart_rate,conversion_rate,title_quality,description_length,keyword_score,rating,reviews,cluster_id,cluster_label
26657.0,0.1094,49.69,21.23,0.0593,0.0322,10.0,72.0,4.18,4.27,260.0,3,Low Engagement Product
33863.0,0.1001,526.52,83.88,0.1159,0.0773,7.44,952.0,7.91,4.97,261.0,2,Attract but Don't Convert
32706.0,0.0691,428.27,75.58,0.0693,0.0403,4.37,810.0,2.55,3.57,164.0,2,Attract but Don't Convert
11634.0,0.0103,210.61,40.48,0.0127,0.0111,1.74,372.0,3.4,2.91,30.0,0,Invisible Product
29227.0,0.0978,231.62,48.3,0.0887,0.0592,8.59,411.0,4.87,4.4,385.0,3,Low Engagement Product
40497.0,0.0226,77.72,17.64,0.0516,0.0263,2.64,95.0,1.89,2.09,9.0,0,Invisible Product
25951.0,0.0255,279.8,51.2,0.0593,0.0406,2.47,513.0,2.91,3.24,206.0,0,Invisible Product
1116.0,0.0569,419.83,71.14,0.0579,0.0348,5.41,707.0,5.83,3.07,78.0,2,Attract but Don't Convert
24353.0,0.1218,266.43,53.9,0.1109,0.0826,8.47,541.0,7.66,4.78,971.0,1,High Performer
24376.0,0.06,531.58,86.68,0.0617,0.0328,6.99,994.0,1.23,3.27,57.0,2,Attract but Don't Convert
23347.0,0.0766,109.12,15.41,0.0302,0.0137,1.56,136.0,3.58,1.39,32.0,0,Invisible Product
24400.0,0.1634,161.6,30.83,0.0637,0.0458,8.62,299.0,6.53,3.69,258.0,3,Low Engagement Product
8629.0,0.1067,417.41,71.13,0.0828,0.0729,9.83,749.0,7.24,4.12,971.0,1,High Performer
17362.0,0.0267,113.64,19.02,0.125,0.0739,7.63,194.0,1.0,4.23,241.0,3,Low Engagement Product
9368.0,0.0502,422.1,72.57,0.0732,0.0423,5.18,765.0,4.71,3.23,472.0,2,Attract but Don't Convert
21371.0,0.0412,488.76,79.88,0.0587,0.0253,3.29,968.0,2.36,2.46,37.0,0,Invisible Product
12285.0,0.073,423.25,67.66,0.0709,0.0446,2.6,783.0,4.14,3.82,120.0,2,Attract but Don't Convert
21343.0,0.0958,231.6,38.38,0.085,0.0523,5.48,314.0,8.57,4.16,338.0,3,Low Engagement Product
39199.0,0.0929,246.9,45.38,0.0658,0.0391,7.87,470.0,2.97,3.05,376.0,3,Low Engagement Product
8671.0,0.2274875,448.19,79.39,0.0147,0.0087,8.17,853.0,9.07,2.62,971.0,4,Trust Issue Product
40076.0,0.0793,331.49,52.68,0.0932,0.042,6.89,537.0,4.99,3.06,290.0,2,Attract but Don't Convert
38144.0,0.0871,74.73,20.99,0.0743,0.0407,8.22,40.0,2.94,3.74,145.0,3,Low Engagement Product
49316.0,0.0941,110.97,18.04,0.0744,0.0381,6.75,92.0,5.82,3.27,87.0,3,Low Engagement Product
49084.0,0.2274875,453.11,73.77,0.0379,0.0181,1.8,861.0,1.06,2.81,36.0,4,Trust Issue Product
40874.0,0.0681,64.44,17.44,0.0956,0.0596,3.28,55.0,8.68,3.68,240.0,3,Low Engagement Product
2668.0,0.0939,302.22,46.81,0.0801,0.0404,5.35,526.0,3.9,3.07,264.0,2,Attract but Don't Convert
2127.0,0.1849,473.46,88.4,0.0177,0.0042,9.45,918.0,5.22,3.08,169.0,4,Trust Issue Product
2795.0,0.1199,133.65,34.13,0.1118,0.0774,6.21,252.0,6.49,3.98,488.0,3,Low Engagement Product
48290.0,0.0104,378.68,71.24,0.077,0.0303,1.64,747.0,1.55,3.28,14.0,0,Invisible Product
5358.0,0.1154,277.97,55.06,0.093,0.0615,7.1,516.0,7.96,4.85,227.0,1,High Performer
22102.0,0.0317,116.94,33.87,0.046,0.0196,2.42,225.0,3.21,2.13,49.0,0,Invisible Product
39604.0,0.2274875,238.96,45.46,0.0359,0.0087,5.23,445.0,4.0,2.54,70.0,4,Trust Issue Product
33259.0,0.0671,489.88,87.65,0.0622,0.0406,7.18,960.0,1.0,3.76,96.0,2,Attract but Don't Convert
14086.0,0.091,71.74,16.25,0.0893,0.0407,7.79,63.0,10.0,4.24,10.0,3,Low Engagement Product
12766.0,0.1336,92.9,15.14,0.1302,0.1028,7.98,110.0,7.58,4.7,971.0,1,High Performer
38760.0,0.089,492.57,82.96,0.1158,0.0726,8.08,948.0,6.88,4.25,120.0,2,Attract but Don't Convert
3661.0,0.0865,446.67,78.05,0.0917,0.0474,5.97,847.0,6.39,3.24,168.0,2,Attract but Don't Convert
26954.0,0.0849,286.41,49.09,0.1171,0.0931,7.69,489.0,9.67,4.65,971.0,1,High Performer
39052.0,0.2132,334.9,61.19,0.0332,0.0126,1.61,624.0,3.64,2.0,3.0,4,Trust Issue Product
22762.0,0.0592,261.09,46.41,0.0198,0.0117,2.34,486.0,3.8,1.3,36.0,0,Invisible Product
8492.0,0.1199,438.42,72.24,0.1154,0.0712,8.22,870.0,7.53,4.6,223.0,2,Attract but Don't Convert
30635.0,0.0499,292.61,55.19,0.0551,0.0435,5.86,473.0,2.62,4.15,464.0,2,Attract but Don't Convert
13167.0,0.1093,304.58,52.15,0.0973,0.0668,8.65,614.0,8.76,4.99,804.0,1,High Performer
48133.0,0.0346,199.69,42.23,0.0854,0.0457,2.91,352.0,2.23,2.99,41.0,3,Low Engagement Product
23699.0,0.1221,275.29,50.56,0.0794,0.0559,5.53,526.0,9.94,3.85,408.0,1,High Performer
35322.0,0.1075,439.41,76.04,0.1064,0.066,4.94,813.0,10.0,4.14,243.0,2,Attract but Don't Convert
11937.0,0.0704,265.55,52.43,0.0873,0.0485,6.48,489.0,1.49,4.38,79.0,3,Low Engagement Product
14139.0,0.1454,51.68,10.92,0.0956,0.0626,6.97,40.0,7.46,3.5,409.0,3,Low Engagement Product
30918.0,0.0087,136.69,22.92,0.0168,0.0111,1.15,247.0,2.88,2.34,3.0,0,Invisible Product
19215.0,0.0623,218.43,46.6,0.0854,0.029,3.8,395.0,3.87,2.69,9.0,0,Invisible Product
11065.0,0.1202,77.56,25.26,0.0668,0.0443,5.59,149.0,5.79,3.86,471.0,3,Low Engagement Product
24638.0,0.1888,362.83,66.84,0.0215,0.0104,6.01,706.0,1.78,2.75,373.0,4,Trust Issue Product
42630.0,0.064,340.24,65.24,0.1204,0.0708,5.74,639.0,3.16,4.48,90.0,2,Attract but Don't Convert
5156.0,0.1281,249.79,46.28,0.1023,0.0735,8.79,433.0,7.06,4.48,672.0,1,High Performer
32582.0,0.1397,434.06,74.85,0.0912,0.0566,7.32,814.0,9.5,4.17,693.0,1,High Performer
47816.0,0.0623,102.27,16.2,0.116,0.0603,3.05,90.0,2.45,3.92,211.0,3,Low Engagement Product
8210.0,0.0571,211.23,33.09,0.0483,0.0149,3.49,423.0,3.84,1.4,21.0,0,Invisible Product
13873.0,0.0312,315.27,57.82,0.0145,0.0118,2.69,581.0,3.59,1.02,30.0,0,Invisible Product
27366.0,0.148,297.54,55.0,0.098,0.0549,9.47,626.0,8.77,4.29,80.0,1,High Performer
17512.0,0.0737,431.68,77.0,0.1105,0.0676,8.34,810.0,4.07,4.08,102.0,2,Attract but Don't Convert
33370.0,0.1112,224.58,41.82,0.0772,0.0582,6.47,416.0,7.47,4.27,371.0,3,Low Engagement Product
7010.0,0.037,197.68,29.84,0.1009,0.0478,3.35,356.0,1.38,3.42,35.0,3,Low Engagement Product
45553.0,0.0519,347.86,62.72,0.0569,0.0257,2.92,663.0,3.86,3.03,11.0,0,Invisible Product
25546.0,0.2274875,300.7,49.67,0.0176,0.0128,6.4,524.0,6.06,2.63,81.0,4,Trust Issue Product
306.0,0.0554,500.1,91.21,0.0673,0.0145,1.49,929.0,3.23,2.0,8.0,0,Invisible Product
21618.0,0.053,153.38,23.59,0.0628,0.0221,1.96,295.0,3.45,2.14,27.0,0,Invisible Product
22461.0,0.1554,480.99,78.73,0.0675,0.0361,9.09,911.0,9.78,4.38,53.0,2,Attract but Don't Convert
23519.0,0.0635,15.59,10.0,0.0925,0.0282,8.7,32.0,1.0,4.41,66.0,3,Low Engagement Product
48802.0,0.0476,10.0,15.71,0.0495,0.0074,1.0,22.0,9.72,3.34,20.0,3,Low Engagement Product
41623.0,0.1223,536.51,90.82,0.1145,0.0832,9.14,997.0,8.23,4.32,940.0,1,High Performer
45251.0,0.1299,128.76,33.18,0.1346,0.0773,8.28,243.0,7.87,4.36,155.0,1,High Performer
22503.0,0.1237,514.22,83.87,0.1037,0.0576,7.03,993.0,9.38,4.03,67.0,2,Attract but Don't Convert
18241.0,0.0639,131.39,20.7,0.0574,0.0311,7.4,194.0,2.28,3.31,438.0,3,Low Engagement Product
14920.0,0.2274875,488.65,83.73,0.0328,0.0133,2.23,918.0,3.01,2.8,33.0,4,Trust Issue Product
40442.0,0.0848,260.08,50.99,0.0844,0.0451,7.31,404.0,4.7,3.85,157.0,3,Low Engagement Product
6474.0,0.1284,315.36,62.4,0.0928,0.0613,7.32,621.0,9.67,4.07,971.0,1,High Performer
1778.0,0.0957,523.89,80.73,0.08,0.0612,8.31,939.0,9.76,4.0,971.0,1,High Performer
33927.0,0.0862,171.57,31.89,0.0864,0.0445,8.12,260.0,1.34,3.78,217.0,3,Low Engagement Product
16298.0,0.0863,328.2,58.26,0.0922,0.045,6.4,566.0,3.47,4.25,100.0,2,Attract but Don't Convert
10014.0,0.1273,38.67,10.0,0.0366,0.0135,7.3,33.0,4.03,3.6,96.0,3,Low Engagement Product
27990.0,0.1094,117.96,25.84,0.105,0.0659,9.12,214.0,7.36,4.68,281.0,3,Low Engagement Product
22399.0,0.0384,239.9,42.38,0.0315,0.0104,2.74,416.0,3.73,1.52,4.0,0,Invisible Product
43685.0,0.0459,235.87,54.98,0.0717,0.0326,3.4,450.0,2.25,3.01,29.0,0,Invisible Product
43789.0,0.0418,172.73,36.48,0.001,0.0003,3.87,325.0,1.81,1.04,15.0,0,Invisible Product
42657.0,0.1319,209.51,46.56,0.0877,0.046,5.29,353.0,8.08,3.21,407.0,3,Low Engagement Product
49180.0,0.0989,423.04,65.78,0.0917,0.068,8.56,744.0,5.72,4.06,469.0,2,Attract but Don't Convert
44120.0,0.0579,212.42,47.06,0.0939,0.0548,3.36,429.0,4.77,3.91,118.0,3,Low Engagement Product
2793.0,0.0291,67.14,10.0,0.0341,0.0112,2.13,22.0,3.25,3.19,18.0,3,Low Engagement Product
29567.0,0.2274875,360.17,69.88,0.0279,0.0174,7.7,710.0,8.55,3.07,971.0,4,Trust Issue Product
29823.0,0.0556,309.37,53.75,0.0175,0.0127,3.19,571.0,2.93,2.47,13.0,0,Invisible Product
46799.0,0.18,259.68,46.06,0.1057,0.063,9.81,471.0,10.0,4.24,292.0,1,High Performer
3727.0,0.1904,367.82,69.16,0.0176,0.0069,1.47,695.0,2.89,2.43,46.0,4,Trust Issue Product
26039.0,0.2274875,444.26,81.11,0.0367,0.0136,2.72,838.0,2.67,2.76,23.0,4,Trust Issue Product
49025.0,0.1413,415.69,72.8,0.069,0.0472,7.44,766.0,8.53,4.14,214.0,2,Attract but Don't Convert
43041.0,0.0326,449.45,82.08,0.0024,0.0023,3.48,788.0,1.55,1.17,49.0,0,Invisible Product
21934.0,0.0688,471.46,81.62,0.0438,0.0258,6.6,891.0,4.41,4.34,473.0,2,Attract but Don't Convert
18147.0,0.0197,268.75,52.76,0.0048,0.0046,3.25,514.0,3.28,1.49,10.0,0,Invisible Product
26205.0,0.0852,226.62,46.2,0.0359,0.0088,3.17,436.0,2.52,2.02,12.0,0,Invisible Product
10330.0,0.0528,241.38,46.31,0.0442,0.0171,2.19,410.0,2.18,2.54,9.0,0,Invisible Product
15807.0,0.1282,242.35,41.48,0.0928,0.0572,9.2,392.0,8.49,4.07,97.0,3,Low Engagement Product
22076.0,0.1129,340.52,56.65,0.1117,0.0627,9.26,647.0,4.13,4.26,106.0,2,Attract but Don't Convert
44362.0,0.001,83.83,17.57,0.0135,0.0038,2.02,71.0,2.88,1.36,28.0,0,Invisible Product
23876.0,0.0333,270.87,33.92,0.0521,0.0233,3.51,395.0,1.18,1.95,38.0,0,Invisible Product
30180.0,0.1138,263.39,47.4,0.1132,0.0657,9.92,414.0,7.29,4.32,112.0,1,High Performer
1406.0,0.158,486.51,91.22,0.1245,0.0742,8.54,942.0,8.68,4.28,319.0,2,Attract but Don't Convert
6876.0,0.0821,131.13,20.45,0.0986,0.066,3.84,161.0,3.06,4.03,481.0,3,Low Engagement Product
27351.0,0.0565,101.0,15.8,0.0402,0.0114,1.41,105.0,3.75,1.65,26.0,0,Invisible Product
9574.0,0.0478,272.76,38.88,0.0355,0.0043,2.41,483.0,1.43,2.61,0.0,0,Invisible Product
40394.0,0.0953,80.45,14.93,0.0889,0.0549,8.43,65.0,6.01,3.7,469.0,3,Low Engagement Product
22059.0,0.1503,476.71,80.96,0.0966,0.0652,9.13,863.0,8.99,4.45,971.0,1,High Performer
5630.0,0.0553,183.45,32.22,0.0937,0.0499,4.79,257.0,6.25,3.03,274.0,3,Low Engagement Product
29420.0,0.079,56.08,13.67,0.079,0.0465,4.73,29.0,9.84,3.46,278.0,3,Low Engagement Product
3848.0,0.0445,386.6,63.32,0.0672,0.0319,3.89,683.0,2.32,3.3,31.0,2,Attract but Don't Convert
32068.0,0.0872,305.59,61.91,0.1189,0.0909,9.22,592.0,1.0,4.09,438.0,2,Attract but Don't Convert
32662.0,0.1019,304.46,49.09,0.0623,0.041,7.16,549.0,4.83,3.09,273.0,2,Attract but Don't Convert
13645.0,0.001,323.5,54.65,0.0283,0.0136,1.8,617.0,1.18,1.41,17.0,0,Invisible Product
763.0,0.0358,387.91,56.69,0.1265,0.0744,5.11,668.0,3.8,4.13,123.0,2,Attract but Don't Convert
34866.0,0.1022,468.84,81.28,0.091,0.0583,6.66,932.0,8.17,3.77,321.0,2,Attract but Don't Convert
8094.0,0.0279,366.73,65.16,0.0548,0.0187,3.2,761.0,2.85,1.47,3.0,0,Invisible Product
28121.0,0.0652,331.18,51.28,0.1226,0.0799,2.13,659.0,4.93,4.3,475.0,2,Attract but Don't Convert
30403.0,0.0327,342.94,57.19,0.0423,0.0171,3.92,635.0,3.14,2.5,15.0,0,Invisible Product
3404.0,0.1872,348.03,71.42,0.1241,0.0885,9.8,717.0,9.97,4.36,971.0,1,High Performer
46676.0,0.1858,456.14,85.69,0.0316,0.0233,2.29,928.0,1.45,2.38,17.0,4,Trust Issue Product
39453.0,0.1136,141.8,28.9,0.1486,0.0953,7.59,197.0,7.96,4.82,338.0,1,High Performer
17775.0,0.0963,446.14,83.68,0.1362,0.1082,8.53,888.0,7.37,4.88,971.0,1,High Performer
44517.0,0.0817,62.6,10.38,0.1028,0.0651,6.51,25.0,7.91,3.99,228.0,3,Low Engagement Product
24038.0,0.0223,439.56,78.62,0.079,0.0369,1.91,872.0,1.92,2.8,20.0,2,Attract but Don't Convert
23764.0,0.0115,150.26,32.49,0.0216,0.0096,1.01,326.0,2.06,1.72,46.0,0,Invisible Product
1736.0,0.2274875,292.92,56.6,0.0373,0.0149,4.64,567.0,3.58,2.69,242.0,4,Trust Issue Product
20180.0,0.1447,177.24,51.97,0.0805,0.0514,7.35,346.0,8.29,4.21,219.0,3,Low Engagement Product
27828.0,0.0924,191.64,33.48,0.0825,0.0445,8.46,375.0,6.81,3.26,106.0,3,Low Engagement Product
49950.0,0.056,433.81,79.95,0.0565,0.0366,1.0,812.0,5.53,3.26,16.0,2,Attract but Don't Convert
26836.0,0.1585,240.4,40.45,0.0231,0.0136,1.59,414.0,3.47,2.52,24.0,4,Trust Issue Product
28773.0,0.0155,217.14,42.79,0.1028,0.0533,5.03,319.0,1.35,3.32,86.0,3,Low Engagement Product
37605.0,0.0286,295.25,55.44,0.0512,0.0195,1.24,545.0,3.6,1.97,9.0,0,Invisible Product
47423.0,0.0102,419.73,68.57,0.0414,0.0132,2.74,768.0,2.38,1.7,6.0,0,Invisible Product
46745.0,0.0512,155.42,33.14,0.0728,0.0407,3.17,304.0,2.57,3.5,137.0,3,Low Engagement Product
954.0,0.0371,186.34,41.5,0.0622,0.0227,2.65,349.0,2.13,2.82,0.0,0,Invisible Product
24648.0,0.1236,90.5,23.97,0.0881,0.0563,7.38,69.0,9.3,4.12,945.0,1,High Performer
38723.0,0.1309,454.09,77.39,0.1425,0.1091,9.78,792.0,9.85,4.84,971.0,1,High Performer
7492.0,0.0629,555.25,86.74,0.082,0.0324,3.01,987.0,2.23,2.99,32.0,2,Attract but Don't Convert
46817.0,0.0597,347.99,63.72,0.0862,0.0589,3.57,641.0,5.4,4.36,408.0,2,Attract but Don't Convert
21656.0,0.101,367.51,76.23,0.1013,0.0761,8.44,728.0,8.97,4.5,673.0,1,High Performer
38659.0,0.0231,212.87,44.08,0.0971,0.0247,3.47,397.0,2.12,1.82,32.0,0,Invisible Product
26409.0,0.0392,414.94,71.99,0.0926,0.0585,6.23,783.0,4.34,4.16,491.0,2,Attract but Don't Convert
22019.0,0.065,328.2,52.45,0.1065,0.0681,5.8,619.0,4.61,3.55,193.0,2,Attract but Don't Convert
5031.0,0.0247,454.27,83.67,0.0421,0.0215,3.75,844.0,1.97,2.56,18.0,0,Invisible Product
33070.0,0.0714,323.53,53.91,0.1042,0.0626,5.92,557.0,1.74,4.38,113.0,2,Attract but Don't Convert
44315.0,0.06,405.92,69.9,0.0224,0.0025,2.59,793.0,3.88,1.45,6.0,0,Invisible Product
12788.0,0.146,149.85,26.7,0.0904,0.0582,9.81,163.0,9.09,4.32,148.0,3,Low Engagement Product
25442.0,0.0946,70.99,20.18,0.1087,0.0603,4.27,79.0,5.82,4.17,93.0,3,Low Engagement Product
37257.0,0.0037,500.66,76.34,0.042,0.0237,1.97,887.0,1.66,2.98,46.0,0,Invisible Product
2427.0,0.0749,437.97,70.15,0.0633,0.0515,4.92,799.0,4.22,3.98,449.0,2,Attract but Don't Convert
40872.0,0.004,120.12,20.33,0.0482,0.0129,1.24,94.0,3.13,1.7,44.0,0,Invisible Product
40645.0,0.0297,17.74,17.8,0.0218,0.0081,2.51,22.0,2.72,1.43,40.0,0,Invisible Product
297.0,0.0433,316.73,55.87,0.0657,0.0268,2.42,594.0,2.45,3.35,13.0,0,Invisible Product
23609.0,0.0633,403.29,70.32,0.0434,0.0321,3.84,767.0,6.02,3.65,302.0,2,Attract but Don't Convert
34798.0,0.1198,267.16,43.91,0.0661,0.0327,7.18,467.0,4.44,3.98,73.0,3,Low Engagement Product
44642.0,0.0415,521.01,94.32,0.0497,0.0158,2.71,977.0,3.74,2.06,37.0,0,Invisible Product
15187.0,0.0899,417.78,74.08,0.0821,0.0524,6.72,760.0,3.13,3.89,242.0,2,Attract but Don't Convert
22771.0,0.0458,493.3,78.11,0.1062,0.0437,1.0,921.0,5.82,4.17,26.0,2,Attract but Don't Convert
25284.0,0.1127,188.15,41.82,0.06,0.0273,9.97,294.0,4.7,3.34,102.0,3,Low Engagement Product
27948.0,0.2274875,294.82,71.17,0.0138,0.0044,7.09,549.0,9.4,2.55,932.0,4,Trust Issue Product
42207.0,0.1341,344.85,49.88,0.1065,0.072,8.17,611.0,9.23,4.61,732.0,1,High Performer
